nces_id,cds_id,fips_code,county_code,District  Name,County Name,school_count,Total Enrollment ,Total Enrollment,enroll_es,enroll_ms,enroll_hs,race_hisp,race_afam,race_white,av,urban,suburban,Rural District,AV Per Student,AV Quintile,frpm_total,FRPM Share,Region Code,Nonwhite share,Black Share,Hispanic  Share,UN_LA,un_la_amount,UN_55,un_55_amount,SAB Unfunded, SAB Unfunded $ ,Bond on 11/2016,Bond $ 11/2016,cds_county,enrollgrowth,enrollgrowth_pct,perschoolpop,Bond Passed 11/2016,Bond Passed $  6/2016,Bond $ 6/2016,Bond Passed 6/2016,Bond Passed $  6/2016,Bond in 2015,Bond $ 2015,Bond Passed 2015,Bond in 2014,Bond $ 2014,Bond Passed 2014,,
642540,61622,6011,6,Williams Unified,Colusa,5,1377,1377,791,184,402,1239,4,97,702200000,0,0,0,509918,2,1021,0.77,3,0.93,0,0.91,0,,0,,0,,1,11000000,6,393,0.41987181,265.79999,1,11000000,,,0,,,,,,,,
601650,61630,6013,7,Acalanes Union High,Contra Costa,7,5402,5402,0,0,5402,461,81,3664,25430000000,0,1,0,4706642,5,267,0.05,7,0.31,0.02,0.08,0,,0,,0,,0,,7,467,0.095755585,890.66669,,0,,,0,,,,,,,,
602850,61648,6013,7,Antioch Unified,Contra Costa,29,18352,18352,9739,2802,5811,7427,4768,3216,8163000000,0,1,0,444809,2,11703,0.63,7,0.81,0.25,0.4,0,,0,,0,,0,,7,1177,0.067854263,638.72412,,0,,,0,,,,,,,,
605910,61655,6013,7,Brentwood Union Elementary,Contra Costa,12,8562,8562,6479,2083,0,2592,632,3927,6362000000,0,1,0,743058,3,2325,0.27,7,0.52,0.07,0.3,0,,0,,0,,0,,7,5329,1.6944356,651.84613,,0,158000000,1,158000000,,,,,,,,
606750,61663,6013,7,Byron Union Elementary,Contra Costa,5,1963,1963,1386,456,121,397,93,1259,2522000000,0,0,1,1284569,4,447,0.28,7,0.36,0.04,0.2,0,,0,,0,,0,,7,581,0.5608108,539,,0,,,0,,,,,,,,
607350,61671,6013,7,Canyon Elementary,Contra Costa,2,,68,52,16,0,6,4,40,16617968,0,0,1,244382,1,8,0.11,7,0.42,0.11,0.07,0,,0,,0,,0,,7,-5,-0.064935066,72,,0,,,0,,,,,,,,
691005,10074,6013,7,Contra Costa County Office of Education,Contra Costa,14,3812,3812,654,395,2763,1581,393,1322,,0,1,0,,,,,,,,,0,,0,,0,,0,,,,,,,0,,,0,,,,,,,,
618990,61697,6013,7,John Swett Unified,Contra Costa,5,1699,1699,859,261,579,512,343,321,2848000000,0,1,0,1676353,4,1135,0.67,7,0.81,0.21,0.3,0,,0,,0,,1,62200000,7,-523,-0.23718821,336.39999,1,62200000,,,0,,,,1,52000000,0,,
620040,61705,6013,7,Knightsen Elementary,Contra Costa,2,532,532,413,119,0,205,13,282,337900000,0,0,1,635120,2,219,0.46,7,0.44,0.01,0.37,0,,0,,0,,0,,7,152,0.46200609,481,,0,,,0,,,,,,,,
620310,61713,6013,7,Lafayette Elementary,Contra Costa,6,3525,3525,2772,753,0,283,33,2587,6682000000,0,1,0,1895657,4,99,0.03,7,0.26,0.01,0.08,0,,0,,0,,0,,7,-1,-0.000288184,578.16669,,0,70000000,1,70000000,,,,,,,,
